#Title: The main part of the Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
#Column	ADS	(a5)	Aitken's Double Star Catalog (ADS) designation	[ucd=meta.id]
#Column	VarID	(a9)	Variable star identification	[ucd=meta.id]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a20)	Spectral type	[ucd=src.spType]
RAJ2000	DEJ2000	HR	Name	HD	ADS	VarID	Vmag	B-V	SpType
186.715417	-32.830000	4735	          	108323	     	         	 5.55	 0.01	  B9V
186.852500	-63.789167	4736	          	108355	     	         	 6.00	 0.07	  B8IV
186.734583	+28.268333	4737	 15Gam Com	108381	     	         	 4.36	 1.13	  K1IIIFe0.5
186.747083	+26.825556	4738	 16    Com	108382	     	         	 5.00	 0.08	  A4V
186.869583	-58.991944	4739	          	108396	     	BL Cru   	 5.50	 1.45	  M4-5III
186.600833	+71.929722	4740	          	108399	     	         	 6.24	 1.06	 gG8
186.925417	 +8.610278	4741	          	108471	     	         	 6.37	 0.93	  G8III
186.955833	-16.631944	4742	          	108477	     	         	 6.35	 0.84	  G3III
187.010000	-50.230556	4743	   Sig Cen	108483	     	         	 3.91	-0.19	  B2V
187.078750	-64.341389	4744	          	108501	     	         	 6.04	 0.02	  A0Vn
186.896250	+55.712778	4745	 73    UMa	108502	     	         	 5.70	 1.55	  M2IIIb
186.965000	 -4.615278	4746	          	108506	     	FT Vir   	 6.22	 0.44	  A8n
187.106250	-61.795278	4747	          	108530	     	         	 6.22	 1.26	  K2III
187.093750	-39.041389	4748	          	108541	     	         	 5.44	-0.08	  B8V
187.139167	-56.407778	4749	          	108570	     	         	 6.15	 0.92	  K0-1III
187.158750	+26.226667	4750	          	108642	     	         	 6.54	 0.17	  A2m
187.185833	+25.899167	4751	          	108651	 8568	         	 6.65	 0.22	  Am(A2/A9V/F0)
187.227917	+25.912778	4752	 17    Com	108662	 8568	AI Com   	 5.29	-0.05	  A1IVp
187.362083	+24.108889	4753	 18    Com	108722	     	         	 5.48	 0.43	  F5III
187.474583	-56.524722	4754	          	108732	     	         	 5.80	 1.56	  M1III
187.491250	-41.736111	4755	          	108759	     	 5655    	 6.02	 1.52	  M2II-III
187.430000	+20.896111	4756	 20    Com	108765	     	         	 5.69	 0.07	  A3V
187.466250	-16.515556	4757	  7Del Crv	108767	 8572	 5656    	 2.95	-0.05	  B9.5V
187.520000	-13.393056	4758	          	108799	 8573	         	 6.35	 0.56	  G0V
187.572917	-23.696667	4759	          	108821	     	 5662    	 5.63	 1.67	  M0III
187.488750	+58.405833	4760	 74    UMa	108844	     	         	 5.35	 0.20	  A5Del Del
187.512083	+51.535556	4761	  7    CVn	108845	     	         	 6.21	 0.51	  F6-8V
187.517917	+58.767500	4762	 75    UMa	108861	     	         	 6.08	 0.98	  G8III-IV
187.791250	-57.113333	4763	   Gam Cru	108903	     	 5672    	 1.63	 1.59	  M3.5III
187.819583	-57.081111	4764	   Gam Cru	108925	     	         	 6.42	 0.16	  A3V
187.527917	+69.201111	4765	  4    Dra	108907	     	CQ Dra   	 4.95	 1.62	  M3IIIa
187.752500	+24.567222	4766	 21    Com	108945	     	UU Com   	 5.46	 0.05	  A2p
187.708750	+53.076667	4767	          	108954	     	         	 6.21	 0.54	  F8-G0V
187.917917	-59.423889	4768	          	108968	     	BG Cru   	 5.48	 0.63	  F7Ib-II
188.041667	-73.001667	4769	          	108970	     	         	 5.88	 1.11	  K1III
187.839167	 +7.604167	4770	          	108985	     	         	 6.05	 1.52	  K5
187.982500	-63.506111	4771	          	109000	     	         	 5.95	 0.27	  A8III
187.911250	 -5.052500	4772	          	109014	     	         	 6.19	 1.04	 gG9
188.116667	-72.133056	4773	   Gam Mus	109026	     	         	 3.87	-0.15	  B5V
188.018750	-32.533611	4774	          	109074	     	         	 6.46	 0.20	  A3V
188.017500	-16.196111	4775	  8Eta Crv	109085	     	 5690    	 4.31	 0.38	  F2III-IV
188.150000	-13.859167	4776	          	109141	     	         	 5.74	 0.40	  F2V
188.262083	+10.295556	4777	 20    Vir	109217	     	         	 6.26	 0.95	  G8III
188.343333	-19.791944	4778	          	109238	     	 5715    	 6.26	 0.29	  F2V
188.392917	-12.830278	4779	          	109272	     	         	 5.58	 0.86	  G8III
188.392500	+24.283056	4780	 22    Com	109307	     	         	 6.29	 0.11	  A4Vm
188.445000	 -9.451944	4781	 21    Vir	109309	     	         	 5.48	-0.03	  A0V
188.496667	-49.909444	4782	          	109312	     	         	 6.38	 0.46	  F3III-IV
188.412083	+33.247500	4783	          	109317	     	         	 5.42	 1.00	  K0IIICN-1
188.447500	+33.384722	4784	          	109345	     	         	 6.24	 1.05	  K0III
188.435417	+41.357500	4785	  8Bet CVn	109358	     	 5725    	 4.26	 0.59	  G0V
188.596667	-23.396667	4786	  9Bet Crv	109379	     	 5729    	 2.65	 0.89	  G5II
188.370833	+69.788333	4787	  5Kap Dra	109387	     	Kap Dra  	 3.87	-0.13	  B6IIIpe
188.676250	-44.673333	4788	          	109409	     	         	 5.77	 0.70	  G1V
188.712917	+22.629167	4789	 23    Com	109485	     	         	 4.81	 0.00	  A0IV
188.870833	-61.841944	4790	          	109492	     	         	 6.22	 0.73	  G3III
188.776250	+18.377222	4791	 24    Com	109510	 8600	 5745    	 6.56	 0.25	  A9Vm
188.782500	+18.376944	4792	 24    Com	109511	 8600	 5748    	 5.02	 1.15	  K2III
188.783750	+21.881389	4793	          	109519	     	         	 5.85	 1.22	  K1III
188.939583	-41.021944	4794	          	109536	     	Var?     	 5.13	 0.22	  A7III
188.683333	+70.021944	4795	  6    Dra	109551	     	         	 4.94	 1.31	  K3III*
189.005000	-39.870000	4796	          	109573	     	         	 5.80	 0.01	  A0V
188.994167	-20.527222	4797	          	109585	     	TU Crv   	 6.20	 0.33	  F0III
189.295833	-69.135556	4798	   Alp Mus	109668	     	Alp Mus  	 2.69	-0.20	  B2IV-V
189.197500	 -5.831944	4799	 25    Vir	109704	     	         	 5.87	 0.07	  A3V
189.097083	+59.486944	4800	          	109729	     	T UMa    	 5.50	     	  M4IIIe
189.242917	+17.089444	4801	 25    Com	109742	     	         	 5.68	 1.41	  K5III
189.425833	-48.541111	4802	   Tau Cen	109787	     	         	 3.86	 0.05	  A2V
189.425833	-27.138889	4803	          	109799	 8612	         	 5.45	 0.32	  F1IV
189.810417	-75.369444	4804	          	109857	     	         	 6.49	 0.08	  B8Vne
189.518333	 +3.282500	4805	          	109860	     	         	 6.33	 0.01	  A1V
189.718750	-67.193056	4806	          	109867	     	         	 6.25	 0.06	  B1Ia
189.593333	 +1.854722	4807	          	109896	     	FW Vir   	 5.71	 1.60	  M3+IIIbCa0.5
189.625000	 +6.988333	4808	          	109914	     	R Vir    	 7.08	 1.44	  M4.5IIIe
189.685833	-18.250278	4809	          	109931	     	         	 6.00	 0.29	 dA6
189.764583	-30.422222	4810	          	109960	     	 5822    	 5.89	 1.21	  K2-3III
189.692917	+40.874444	4811	  9    CVn	109980	     	         	 6.37	 0.18	  A7Vn
189.758750	+22.659444	4812	          	109996	     	         	 6.38	 1.10	  K1III
189.811667	 -7.995556	4813	 26Chi Vir	110014	     	         	 4.66	 1.23	  K2III-IIIbCN1
189.981667	-66.511667	4814	          	110020	     	FH Mus   	 6.26	-0.05	  B8V
189.780417	+21.062500	4815	 26    Com	110024	     	         	 5.46	 0.96	  G9III
189.820417	+35.951944	4816	          	110066	     	AX CVn   	 6.45	 0.06	  A0pSrCrEu
189.968750	-39.987500	4817	          	110073	     	 5835    	 4.64	-0.08	  B8II/III
190.345833	-46.145556	4818	          	110287	     	         	 5.84	 1.52	  K4III
190.379167	-48.959722	4819	   Gam Cen	110304	     	         	 2.17	-0.01	  A1IV
190.521250	-69.407500	4820	          	110311	     	R Mus    	 6.33	 0.78	  F7Ib-G2
190.316667	-13.013611	4821	          	110317	 8627	 5855    	 6.08	     	  F3Vn
190.317500	-13.015000	4822	          	110318	 8627	 5855    	 5.98	 0.42	  F5V
190.485833	-59.685833	4823	          	110335	     	 5858    	 4.93	-0.04	  B6IVe
190.393333	+10.426389	4824	 27    Vir	110377	     	GG Vir   	 6.19	 0.19	  A7Vn
190.415000	 -1.449444	4825	 29Gam Vir	110379	 8630	 5859    	 3.65	 0.36	  F0V
190.415000	 -1.449444	4826	 29Gam Vir	110380	 8630	 5859    	 3.68	     	  F0V
190.455000	-19.758611	4827	          	110385	     	         	 6.03	 0.39	  F3-5III
190.471250	+10.235556	4828	 30Rho Vir	110411	     	Rho Vir  	 4.88	 0.09	  A0V
190.487917	 +6.806667	4829	 31    Vir	110423	 8633	 5867    	 5.59	 0.00	  A2V
190.709583	-63.058611	4830	          	110432	     	BZ Cru   	 5.31	 0.27	  B1IIIe
190.647500	-48.813056	4831	          	110458	     	         	 4.66	 1.09	  K0III
190.706667	-55.947222	4832	          	110461	     	         	 6.08	-0.03	  B9V
190.391250	+62.713056	4833	 76    UMa	110462	     	         	 6.07	 0.01	  A2III
190.787917	-56.176111	4834	          	110506	     	         	 6.00	-0.08	  B7-8V
190.867500	-58.903056	4835	          	110532	     	         	 6.40	 1.09	  K0-1III
190.859583	-40.177778	4836	          	110575	     	         	 6.44	 0.25	  A8V:
190.908750	 -1.576944	4837	          	110646	     	         	 5.93	 0.86	  G8IIIp
190.994583	-36.349167	4838	          	110653	     	         	 6.39	-0.06	  A0V
191.002083	-28.323889	4839	          	110666	     	         	 5.48	 1.34	  K4III
190.767500	+61.155556	4840	          	110678	     	Var      	 6.38	 1.26	  K0
191.257083	-68.831111	4841	          	110716	     	         	 6.16	 0.69	  F6Ia
191.407917	-60.981111	4842	   Iot Cru	110829	     	         	 4.69	 1.05	  K0III
191.112917	+44.103056	4843	          	110834	     	         	 6.33	 0.43	  F6IV
191.570417	-68.108056	4844	   Bet Mus	110879	     	         	 3.05	-0.18	  B2.5V
191.247917	+39.278889	4845	 10    CVn	110897	     	         	 5.95	 0.55	  G0V
191.282500	+45.440278	4846	          	110914	     	Y CVn    	 4.99	 2.54	  C7I
191.404583	 +7.673333	4847	 32    Vir	110951	     	FM Vir   	 5.22	 0.33	  F0IIIm
191.594583	-56.488889	4848	          	110956	     	         	 4.65	-0.16	  B3V
191.593750	 +9.540000	4849	 33    Vir	111028	     	         	 5.67	 0.99	  K1III-IV
191.691667	-33.315556	4850	          	111032	     	         	 5.86	 1.34	  K3III
191.661250	+16.577500	4851	 27    Com	111067	     	         	 5.12	 1.35	  K3III
191.108333	+80.621111	4852	          	111112	     	         	 6.40	 0.12	  A5m
191.930000	-59.688611	4853	   Bet Cru	111123	     	Bet Cru  	 1.25	-0.23	  B0.5III
191.759583	 +5.950833	4854	          	111133	     	EP Vir   	 6.34	-0.05	  A0pSrEuCr
191.806667	+11.958056	4855	 34    Vir	111164	     	         	 6.07	 0.12	  A3V
191.889167	 -6.301944	4856	          	111199	     	         	 6.26	 0.55	  F7V
191.973750	-24.851667	4857	          	111226	     	         	 6.44	-0.06	  B8III
191.964167	 +3.572778	4858	 35    Vir	111239	     	 5947    	 6.41	 1.60	  M3IIIb
191.828750	+62.780833	4859	          	111270	     	         	 5.89	     	  A9V
192.110000	-27.597500	4860	          	111295	     	         	 5.66	 0.95	  G5III-IV
192.059583	+13.553056	4861	 28    Com	111308	     	         	 6.56	 0.01	  A1V
192.437083	-71.986389	4862	          	111315	     	         	 5.55	 1.17	  G8Ib-II
191.893333	+66.790278	4863	  7    Dra	111335	     	         	 5.43	 1.56	 gK5
192.195833	+24.840278	4864	          	111395	     	         	 6.31	 0.70	  G7V
192.225833	+14.122500	4865	 29    Com	111397	     	         	 5.70	 0.02	  A1V
192.174167	+48.466944	4866	 11    CVn	111421	     	         	 6.27	 0.18	  A6m
192.164167	+60.320000	4867	          	111456	     	         	 5.85	 0.46	  F5V
192.550000	-60.400833	4868	          	111463	     	         	 6.75	 0.35	  A3II
192.322500	+27.552222	4869	 30    Com	111469	 8674	         	 5.78	 0.03	  A2V
193.744167	-85.123333	4870	   Iot Oct	111482	     	         	 5.46	 1.02	  K0III
192.581667	-48.459722	4871	          	111519	     	         	 6.24	 0.05	  A0V
192.741250	-52.787500	4872	          	111588	     	         	 5.73	 0.13	  A5V
192.572500	+22.863333	4873	          	111591	     	         	 6.43	 1.00	  K0III
192.671667	-33.999444	4874	          	111597	     	         	 4.91	-0.04	  A0IV
192.544583	+37.516944	4875	          	111604	     	 5983    	 5.89	 0.15	  A3V
192.824167	-60.329722	4876	          	111613	     	 5991    	 5.72	 0.38	  A2Iabe
192.845417	-10.338333	4877	          	111720	 8684	 5994    	 6.41	 1.02	  G8III
192.903750	 +3.056667	4878	 37    Vir	111765	     	         	 6.02	 1.29	 gK4
192.986667	-39.680833	4879	          	111774	     	 5999    	 5.98	-0.10	  B8V
193.022083	-48.094167	4880	          	111775	     	         	 6.33	 0.03	  A0IV
192.991250	-26.738056	4881	          	111786	     	         	 6.15	 0.23	  A0III
193.102500	-53.829444	4882	          	111790	     	         	 6.24	 1.13	  G8Ib-II
192.924583	+27.540556	4883	 31    Com	111812	     	Var?     	 4.94	 0.67	  G0III
193.051250	+17.073889	4884	 32    Com	111862	     	         	 6.32	 1.59	  M0III
193.266250	-54.952500	4885	          	111884	     	         	 5.93	 1.31	  K2III
193.115000	+16.122500	4886	          	111893	     	         	 6.30	 0.16	  A7V
193.340833	-60.328611	4887	          	111904	     	 6008    	 5.76	 0.33	  B9Ia
193.278750	-48.943333	4888	          	111915	     	         	 4.33	 1.37	  K3-4III
193.359167	-40.178889	4889	          	111968	     	         	 4.27	 0.21	  A7III
193.454583	-60.376944	4890	   Kap Cru	111973	     	         	 5.90	 0.20	  B5Ia
193.296667	 -3.553056	4891	 38    Vir	111998	     	         	 6.11	 0.50	  F5V
192.277500	+83.418056	4892	          	112014	 8682	         	 5.85	-0.06	  A0V+A2V
192.306667	+83.412778	4893	          	112028	 8682	         	 5.28	-0.03	  A1IIIShell
193.324167	+21.245000	4894	 35    Com	112033	 8695	         	 4.90	 0.90	  G8III+F6V
193.591667	-58.430556	4895	          	112044	     	S Cru    	 6.58	 0.76	  F7Ib-II
193.408750	 -4.223889	4896	          	112048	     	         	 6.44	 1.10	  K0
193.663333	-59.146667	4897	   Lam Cru	112078	     	Lam Cru  	 4.62	-0.15	  B4Vne
193.648333	-57.177778	4898	   Mu 1Cru	112092	     	         	 4.03	-0.17	  B2IV-V
193.653333	-57.168333	4899	   Mu 2Cru	112091	     	Mu2 Cru  	 5.17	-0.12	  B5Vne
193.457083	+12.418611	4900	 41    Vir	112097	     	         	 6.25	 0.27	  A7III
193.577917	-11.648611	4901	          	112131	     	 6019    	 6.00	 0.08	  A2V
193.588333	 -9.538889	4902	 40Psi Vir	112142	     	Psi Vir  	 4.79	 1.60	  M3-IIICa-1
193.743750	-44.151944	4903	          	112164	     	         	 5.89	 0.64	  G1V
193.554583	+33.534444	4904	          	112171	     	         	 6.26	 0.20	  A7IV
193.507083	+55.959722	4905	 77Eps UMa	112185	     	Eps UMa  	 1.77	-0.02	  A0pCr
193.830833	-42.915833	4906	          	112213	     	         	 5.47	 1.68	  M0III
194.131250	-72.185278	4907	          	112219	     	         	 5.93	 1.13	  G8III
193.987500	-56.836111	4908	          	112244	     	 6024    	 5.32	 0.01	  O9Ib
193.735417	+47.196667	4909	          	112264	     	TU CVn   	 5.84	 1.55	  M5III
193.900833	 +3.397500	4910	 43Del Vir	112300	     	 6026    	 3.38	 1.58	  M3+III
193.972083	-15.326944	4911	          	112304	     	         	 6.17	 0.00	  A0Vn
194.125417	-26.460278	4912	          	112374	     	LN Hya   	 6.62	 0.68	  F3Ia
194.268333	-51.198611	4913	          	112409	     	         	 5.16	-0.06	  B8-9V
194.001667	+38.314722	4914	 12Alp1CVn	112412	 8706	         	 5.60	 0.34	  F0V
194.007083	+38.318333	4915	 12Alp2CVn	112413	 8706	Alp2 CVn 	 2.90	-0.12	  A0pSiEuHg
193.868750	+65.438611	4916	  8    Dra	112429	     	         	 5.24	 0.28	  F0V
194.073333	+54.099444	4917	          	112486	 8710	         	 5.82	 0.19	  A5m
194.388333	-22.753889	4918	          	112519	     	         	 6.31	 1.07	  G5
194.282083	+46.176944	4919	          	112570	     	         	 6.12	 1.01	  K0III-IV
194.730833	+17.409444	4920	 36    Com	112769	     	 6046    	 4.78	 1.56	  M1-IIIb
194.914583	 -3.811944	4921	 44    Vir	112846	 8727	         	 5.79	 0.18	  A3V
195.135833	-33.505278	4922	          	112935	     	         	 6.02	 0.38	  F0V
195.567500	-71.548889	4923	   Del Mus	112985	     	         	 3.62	 1.18	  K2III
195.068750	+30.785000	4924	 37    Com	112989	 8731	Var?     	 4.90	 1.17	  G9IIICH-2Fe1Ca1
195.149583	 -3.368611	4925	 46    Vir	112992	 8732	 6053    	 5.99	 1.12	  K2III
195.161667	+18.373056	4926	          	113022	 8735	         	 6.20	 0.42	  F6V s
194.697083	+75.472500	4927	          	113049	     	         	 6.01	 0.99	  K0III
194.979583	+66.597222	4928	  9    Dra	113092	     	         	 5.32	 1.29	  K2III
195.290000	+17.123056	4929	 38    Com	113095	     	         	 5.96	 0.96	  K0III
195.771667	-71.476111	4930	          	113120	     	 6063    	 6.03	 0.05	  B1.5IIIne
195.182500	+56.366389	4931	 78    UMa	113139	 8739	 6058    	 4.93	 0.36	  F2V
195.544167	+10.959167	4932	 47Eps Vir	113226	     	 6064    	 2.83	 0.94	  G8IIIab
195.888333	-49.527222	4933	   Xi 1Cen	113314	     	         	 4.85	 0.02	  A0V
195.445000	+63.610278	4934	          	113337	     	         	 6.00	 0.41	  F6V
195.942083	-20.583056	4935	          	113415	 8757	         	 5.58	 0.56	  F7V
195.668333	+59.716111	4936	          	113436	     	         	 6.53	 0.05	  A3Vn
195.976667	 -3.663333	4937	 48    Vir	113459	 8759	         	 6.59	 0.29	  F0V
196.200417	-41.196667	4938	          	113523	     	V789 Cen 	 6.26	 1.68	  M3-4III
196.378333	-52.115000	4939	          	113602	     	 6084    	 6.43	 1.70	  M1III
196.569583	-48.463611	4940	          	113703	     	         	 4.71	-0.14	  B5V
196.646250	-41.588611	4941	          	113778	     	 6092    	 5.59	 1.05	  K0II-III
196.727500	-49.906111	4942	   Xi 2Cen	113791	     	         	 4.27	-0.19	  B1.5V
196.435417	+35.798889	4943	 14    CVn	113797	     	 6089    	 5.25	-0.08	  B9V
196.850833	-59.860556	4944	          	113823	     	         	 5.99	 0.48	  F8-G2+B9IV
196.467917	+45.268611	4945	          	113847	 8775	         	 5.63	 1.13	  K1III
196.588333	+21.153333	4946	 39    Com	113848	     	         	 5.99	 0.39	  F4V
196.726250	-35.861944	4947	          	113852	     	         	 6.54	-0.02	  A0IV-III
196.542500	+29.029444	4948	          	113865	 8777	         	 6.54	 0.05	  A3IV
196.594167	+22.616111	4949	 40    Com	113866	     	FS Com   	 5.60	 1.59	  M5III
196.207083	+73.025278	4950	          	113889	 8772	         	 6.31	     	  F0V
196.909583	-53.459722	4951	          	113902	     	         	 5.71	-0.07	  B8V
197.029167	-65.306389	4952	   The Mus	113904	     	The Mus  	 5.51	-0.02	  B0Ia+WC5:
196.594583	+62.041944	4953	          	113994	     	         	 6.14	 0.99	  G7III
196.794583	+27.624722	4954	 41    Com	113996	     	         	 4.80	 1.48	  K5III
196.974167	-10.740278	4955	 49    Vir	114038	     	         	 5.19	 1.14	  K2III
196.973333	+27.555833	4956	          	114092	     	         	 6.19	 1.36	  K4III
197.135417	 -8.984444	4957	          	114113	     	         	 5.55	 1.18	  K3III
197.263750	-23.118056	4958	 45Psi Hya	114149	     	         	 4.95	 1.05	  K1III
197.310000	 -9.538333	4959	          	114203	     	         	 6.32	 1.02	  K0
197.301667	+10.022222	4960	          	114256	     	         	 5.78	 1.00	  K0III
197.438750	-10.329444	4961	 50    Vir	114287	     	 6114    	 5.94	 1.49	  K5III
197.449167	+16.848611	4962	          	114326	     	         	 5.91	 1.45	  K5III
197.487500	 -5.538889	4963	 51The Vir	114330	 8801	         	 4.38	-0.01	  A1IV s+Am
197.411250	+37.423056	4964	          	114357	     	         	 6.02	 1.15	  K3III
197.743333	-52.566944	4965	          	114365	     	V824 Cen 	 6.06	-0.09	  ApSi
197.965000	-69.941944	4966	          	114371	     	         	 5.91	 0.42	  F3IV-V
197.425000	+38.533889	4967	 15    CVn	114376	 8805	         	 6.28	-0.12	  B7III
197.497083	+17.529444	4968	 42Alp Com	114378	 8804	 6116    	 5.22	 0.45	  F5V
197.497083	+17.529444	4969	 42Alp Com	114379	 8804	 6116    	 5.22	     	  F5V
197.786667	-42.233056	4970	          	114435	     	         	 5.79	 0.52	  F7IV
197.513333	+38.498889	4971	 17    CVn	114447	 8805	         	 5.91	 0.29	  A9III-IV
197.971250	-63.302778	4972	          	114461	     	         	 6.33	 0.44	  A8II-III
197.846667	-43.368889	4973	          	114474	     	         	 5.25	 1.05	  K1-2III
197.459167	+62.229167	4974	          	114504	     	         	 6.54	-0.02	  A1V
198.072500	-59.920833	4975	          	114529	     	V831 Cen 	 4.60	-0.08	  B8V
198.571667	-78.447222	4976	          	114533	     	         	 5.85	 1.07	  F8Ib
198.203750	-66.226944	4977	          	114570	     	         	 5.90	 0.06	  A0Vm:
197.913333	-26.551667	4978	          	114576	     	         	 6.50	 0.19	  A5Vn
198.013333	-37.803056	4979	          	114613	     	         	 4.85	 0.70	  G3V
198.233333	-59.816667	4980	          	114630	     	         	 6.16	 0.60	  G0V
198.014583	-16.198611	4981	 53    Vir	114642	     	 6136    	 5.04	 0.46	  F5III-IV
198.212083	-42.699722	4982	          	114707	     	         	 6.22	 1.06	  K0III
197.968333	+27.878056	4983	 43Bet Com	114710	     	         	 4.26	 0.57	  F9.5V
198.035000	+24.258056	4984	          	114724	     	         	 6.33	 0.98	  K1III
198.347917	-50.700000	4985	          	114772	     	         	 5.89	-0.02	  B9V
198.137083	+11.556111	4986	          	114780	     	         	 5.77	 1.51	  M0III
198.149583	+18.751667	4987	          	114793	     	         	 6.53	 0.88	  G8III
198.550417	-58.683889	4988	          	114835	     	         	 5.89	 1.08	  K0-1III
198.561667	-59.103333	4989	          	114837	     	         	 4.92	 0.48	  F7IV
198.361667	-18.826667	4990	 54    Vir	114846	 8824	         	 6.28	 0.09	  B9III
198.489583	-43.138889	4991	          	114873	     	         	 6.16	 1.38	  K4III
198.301667	+18.726944	4992	          	114889	     	         	 6.11	 1.20	  G8III
198.812083	-67.894444	4993	   Eta Mus	114911	     	Eta Mus  	 4.80	-0.08	  B8V
198.857083	-69.679722	4994	          	114912	     	         	 6.37	 1.21	  K2-3III
198.545417	-19.930833	4995	 55    Vir	114946	     	         	 5.33	 0.87	  G6V
198.679583	-48.956667	4996	          	114971	     	         	 5.89	 1.06	  K1III
198.429167	+40.152778	4997	          	115004	     	         	 4.92	 1.06	  G8IIIaCN0.5
198.630417	+11.331667	4998	          	115046	 8832	         	 5.67	 1.50	  M0III
198.790417	-36.371111	4999	          	115050	     	         	 6.19	 0.97	  K1III
199.186667	-65.138333	5000	          	115149	     	         	 6.07	 0.44	  F5V
198.995000	-19.943056	5001	 57    Vir	115202	     	         	 5.22	 1.03	  K1III-IV
199.304167	-66.783611	5002	          	115211	     	 6164    	 4.87	 1.50	  K2Ib-II
198.383333	+72.798889	5003	          	115227	     	         	 6.59	 0.08	  A2V
198.883333	+40.855278	5004	 19    CVn	115271	     	         	 5.79	 0.19	  A7V
199.106250	 -1.390556	5005	          	115308	     	DK Vir   	 6.68	 0.31	  F1IV
199.221250	-31.506111	5006	          	115310	     	         	 5.10	 0.96	  K1III
199.059583	+19.051667	5007	          	115319	     	         	 6.45	 0.98	  G8III
199.307917	-43.979444	5008	          	115331	     	         	 5.84	 0.20	  Am
198.105833	+80.471389	5009	          	115337	     	 6153    	 6.25	 0.94	  K0Ib
199.134583	+19.785278	5010	          	115365	     	         	 6.45	 0.25	  F0V
199.193750	 +9.424167	5011	 59    Vir	115383	     	         	 5.22	 0.59	  G0V s
199.828750	-72.035556	5012	          	115439	     	         	 6.04	 1.35	  K3III
199.315000	+13.675556	5013	          	115478	     	         	 5.33	 1.31	  K3III
199.374583	 -0.676667	5014	          	115488	     	 6171    	 6.37	 0.26	  F0V
199.401250	 +5.469722	5015	 60Sig Vir	115521	     	 6173    	 4.80	 1.67	  M1III
199.644167	-51.286111	5016	          	115529	     	         	 6.19	 0.01	  A0V
199.385417	+40.572500	5017	 20    CVn	115604	     	AO CVn   	 4.73	 0.30	  F3III
199.119167	+68.408056	5018	          	115612	     	         	 6.20	-0.06	  B9.5V
199.601250	-18.311389	5019	 61    Vir	115617	     	         	 4.74	 0.71	  G6V
199.730417	-23.171667	5020	 46Gam Hya	115659	     	 6180    	 3.00	 0.92	  G8-IIIa
199.712917	 +3.687778	5021	          	115709	     	         	 6.62	 0.06	  A1IV
199.615833	+34.098056	5022	          	115723	     	         	 5.82	 1.35	  K4.5III
199.560417	+49.681944	5023	 21    CVn	115735	     	BK CVn   	 5.15	-0.07	  A0V
200.145417	-59.773333	5024	          	115778	     	         	 6.18	 0.43	  F3-F5II
199.767500	+35.128056	5025	          	115810	 8861	         	 6.02	 0.24	  F0IV
200.157500	-52.748056	5026	          	115823	     	 6190    	 5.48	-0.13	  B6V
200.201250	-55.800556	5027	          	115842	     	 6193    	 6.02	 0.29	  B0.5Ia
200.149167	-36.712222	5028	   Iot Cen	115892	     	         	 2.75	 0.04	  A2V
200.240417	-46.880556	5029	          	115912	     	         	 5.77	 1.12	  K1III
200.719167	-72.146667	5030	          	115967	     	         	 6.05	 0.09	  B6V
200.173333	 +2.941667	5031	          	115995	 8864	         	 6.26	 0.10	  A3V
200.079167	+40.150556	5032	 23    CVn	116010	     	         	 5.60	 1.20	  K1III
200.374583	-19.488889	5033	          	116061	     	 6206    	 6.21	 0.09	  A2V
200.648750	-60.972222	5034	          	116072	     	V790 Cen 	 6.18	 0.01	  B2.5Vn
200.657917	-60.988333	5035	          	116087	     	         	 4.53	-0.13	  B3V
200.567500	-52.183056	5036	          	116084	     	         	 5.83	 0.12	  B2.5Ib
200.423333	 +2.087222	5037	          	116160	     	         	 5.69	 0.06	  A2V
200.719583	-47.943056	5038	          	116197	     	         	 6.16	 0.18	  A4V
200.760833	-48.562778	5039	          	116226	     	         	 6.38	-0.07	  B6IV
200.540417	 +5.154722	5040	 64    Vir	116235	     	         	 5.87	 0.12	  A2m
201.002083	-64.535833	5041	          	116243	     	         	 4.53	 0.85	  G6II
201.279583	-74.887778	5042	   Iot1Mus	116244	     	         	 5.05	 1.11	  K0III
200.786250	-33.190000	5043	          	116278	     	 6212    	 6.22	 1.65	  M1III
200.754583	-17.735278	5044	 63    Vir	116292	     	 6213    	 5.37	 0.99	  KIII
200.515833	+43.903056	5045	          	116303	     	 6210    	 6.35	 0.24	  A7m
200.967917	-49.823056	5046	          	116338	     	         	 6.48	 0.96	  G8III
200.828750	 -4.924444	5047	 65    Vir	116365	     	         	 5.89	 1.43	  K3III
201.307917	-64.485278	5048	          	116457	     	         	 5.31	 0.40	  F2III
201.458750	-70.627500	5049	          	116458	     	         	 5.67	-0.03	  ApHgMn:
